course_id,video_number,video_id,mit_video_title,title_on_youtube,publishing_date,view_count,expected_views
1,13.0,K2g0trGAfgo,LECTURE 19: TRANSIT SIGNAL PRIORITY—GUEST LECTURE BY PETER G. FURTH,19. Transit Signal Priority,2019-05-11 05:03:23+00:00,2950,1917.6424867024068
1,14.0,I2K5WnG_TLs,LECTURE 20: SERVICE RELIABILITY,20. Transit Service Reliability,2019-05-11 05:03:48+00:00,960,3248.360818526782
1,15.0,CJehtdXHR7Q,"LECTURE 21: FARE POLICY, STRUCTURE, AND TECHNOLOGY","21. Fare Policy, Structure, and Technology",2019-05-11 05:04:12+00:00,936,1887.1386890870813
1,16.0,K7lqWX6fq-Q,LECTURE 22: WORKFORCE PLANNING,22. Public Transportation Systems,2019-05-11 05:04:43+00:00,2655,1979.9396997159417
1,17.0,G1sBybS2M48,LECTURE 24: BAUMOL'S DISEASE—GUEST LECTURE BY FREDERICK SALVUCCI,24. Baumol's Disease,2019-05-11 05:05:08+00:00,3517,1763.867341721338
2,2.0,vIjmMUI2w4c,"LECTURE 2: THE ""SPIDER ON A FRISBEE"" PROBLEM","2. The ""spider on a Frisbee"" problem",2014-03-25 15:12:27+00:00,20175,15717.58373075396
2,3.0,PJ905OQGsBA,"LECTURE 3: PULLEY PROBLEM, ANGULAR VELOCITY, MAGIC FORMULA","3. Pulley problem, angular velocity, magic formula",2014-03-25 15:12:27+00:00,16658,13881.566752723242
2,4.0,K1pZ90xp2Gw,LECTURE 4: MAGIC AND SUPER-MAGIC FORMULAE,4. Magic and super-magic formulae,2014-03-25 15:12:27+00:00,15854,13747.243632064428
2,5.0,yYDEpATHF7o,"LECTURE 5: SUPER-MAGIC FORMULA, DEGREES OF FREEDOM, NON-STANDARD COORDINATES, KINEMATIC CONSTRAINTS","5. Super-magic formula, degrees of freedom, non-standard coordinates, kinematic constraints",2014-03-25 15:12:27+00:00,15237,9731.384758405296
2,6.0,0nFNEpIYmk8,"LECTURE 7: IMPULSE, SKIER SEPARATION PROBLEM","7. Impulse, skier separation problem",2014-03-25 15:12:27+00:00,9415,11164.917403119302
2,7.0,ejvzjQ1wQ-U,LECTURE 8: SINGLE PARTICLE; TWO PARTICLES,8. Single particle; Two particles,2014-03-25 15:12:27+00:00,9407,9834.855149893301
2,8.0,uhjq0UQqkVg,"LECTURE 9: DUMBBELL PROBLEM, MULTIPLE PARTICLE SYSTEMS, RIGID BODIES, DERIVATION OF TORQUE","9. Dumbbell problem, multiple particle systems, rigid bodies, derivation of torque = I*alpha",2014-03-25 15:12:27+00:00,10656,9113.238402559764
2,9.0,5iTUUeKjiEM,"LECTURE 10: THREE CASES, ROLLING DISC PROBLEM","10. Three cases, rolling disc problem",2014-03-25 15:12:27+00:00,3059,9606.095791426085
4,2.0,Gp94Hph_-BU,LECTURE 3: FIRST-ORDER EQUATIONS (CONTINUED),3. First-Order Equations (continued),2015-01-15 19:04:06+00:00,21632,63849.39417513118
